fuzzy_name	compound_mean_mean	compound_mean_std	user_count	Player_FO	Tm	position	DYAR	DVOA	TD	z_DYAR	z_DVOA	z_TD	year	player_join	Player	url	start_year	end_year	height	weight	birth_date	race	total_population	metro_percent_white	metro_percent_black	experience	youth	oldness	height_dummies
dez bryant	0.08014074074074075	0.45070096267585713	81	D.Bryant	DAL	wr	-9	-13.5	6	-1.022628547037168	-0.9918886021769842	0.6520312476424129	2017	d bryant	dez bryant	/players/B/BryaDe01.htm	2010.0	2017.0	74.0	220.0	November 4, 1988	B	6957123	69.7	15.3	7.0	0.0	1.9747899159663866	tall
dion lewis	0.2521719696969697	0.43949252361968466	66	D.Lewis	BOS	rb	273	27.6	6	2.215989239615044	2.2488540335813627	0.4033442734281368	2017	d lewis	dion lewis	/players/L/LewiDi00.htm	2011.0	2018.0	68.0	195.0	September 27, 1990	B	4728844	77.3	8.0	6.0	0.0	0.9747899159663866	short
doug baldwin	0.19279805194805189	0.42002304868832413	44	D.Baldwin	SEA	wr	200	9.6	8	0.7550044804721219	0.5331372449593029	1.3850336959724463	2017	d baldwin	doug baldwin	/players/B/BaldDo00.htm	2011.0	2018.0	70.0	192.0	September 21, 1988	B	3671095	71.1	5.6	6.0	0.0	0.9747899159663866	short
doug martin	0.15286199999999997	0.4061900984760707	25	D.Martin	TB	rb	-77	-22.5	3	-1.4762039125846391	-1.7029195431903046	-0.5944020871572545	2017	d martin	doug martin	/players/M/MartDo00.htm	2012.0	2018.0	69.0	223.0	January 13, 1989	B	2927714	78.7	12.0	5.0	0.025210084033613356	0.0	short
drew brees	0.14489678492486954	0.40375519175783753	1327	D.Brees	NOP	qb	1390	27.4	23	1.5948273205151453	1.4240876964284204	0.4590736611630278	2017	d brees	drew brees	/players/B/BreeDr00.htm	2001.0	2018.0	72.0	209.0	January 15, 1979	W	1250247	58.2	34.9	16.0	0.0	10.974789915966387	short
eli manning	0.14292860406788985	0.46295930130070967	231	E.Manning	NYG	qb	117	-8.2	19	-0.498671332055484	-0.4806066678371572	-0.02416177164015926	2017	e manning	eli manning	/players/M/MannEl00.htm	2004.0	2018.0	77.0	220.0	January 3, 1981	W	20031443	58.7	17.1	13.0	0.0	7.974789915966387	tall
evan engram	0.06337986111111113	0.4224669786332474	72	E.Engram	NYG	te	-5	-8.0	6	-0.5191316350968077	-0.4580713289468969	1.1597161528369295	2017	e engram	evan engram	/players/E/EngrEv00.htm	2017.0	2018.0	75.0	240.0	September 2, 1994	B	20031443	58.7	17.1	0.0	5.025210084033613	0.0	tall
ezekiel elliott	-0.14470646914446003	0.4121366388046128	46	E.Elliott	DAL	rb	205	11.1	7	1.4986488557591056	0.9473717178781188	0.7359263936232673	2017	e elliott	ezekiel elliott	/players/E/ElliEz00.htm	2016.0	2018.0	72.0	228.0	July 22, 1995	B	6957123	69.7	15.3	1.0	4.025210084033613	0.0	short
frank gore	0.1197769360269361	0.4651829094317248	99	F.Gore	IND	rb	66	-2.3	3	0.032320718171231264	-0.10958967790512153	-0.5944020871572545	2017	f gore	frank gore	/players/G/GoreFr00.htm	2005.0	2018.0	69.0	212.0	May 14, 1983	B	1968768	77.4	14.9	12.0	0.0	6.974789915966387	short
george kittle	0.17326379310344828	0.45128110120295933	29	G.Kittle	SF	te	55	5.6	2	0.2880547487427409	0.2528668535493389	-0.5423133088805785	2017	g kittle	george kittle	/players/K/KittGe00.htm	2017.0	2018.0	76.0	250.0	October 9, 1993	W	4577530			0.0	5.025210084033613	0.0	tall
