fuzzy_name	season	compound_mean_mean	compound_mean_std	user_count	Player	From	To	Pos_x	Ht	Wt	Birth Date	Colleges	Race	Rk	Pos_y	Age	G	MP	PER	TS%	3PAr	FTr	ORB%	DRB%	TRBP	ASTP	STLP	BLKP	TOV%	USG%	OWS	DWS	WS	WS/48	OBPM	DBPM	BPM	VORP	Tm	FG	FGA	FG%	3P	3PA	ThreePP	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PPG	year	Wins	total_population	metro_percent_white	metro_percent_black	clinton_vote_lead	experience	youth	oldness	white_black_diff	height_dummies
timofey mozgov	2016	0.14458699895363503	0.4243624070527719	382	timofey mozgov	2011	2018	C	85	275	16-Jul-86		W	314	C	30	54	1104	12.3	0.5529999999999999	0.003	0.23800000000000002	9.9	16.4	13.1	5.9	0.7	2.3	16.6	16.8	0.7	0.4	1.1	0.048	-2.8	-0.8	-3.6	-0.4	LAL	3.1	6.1	0.515	0.0	0.0	0.0	3.1	6.1	0.517	0.515	1.2	1.4	0.8079999999999999	1.9	3.0	4.9	0.8	0.3	0.6	1.3	2.5	7.4	2017	26	13189366	55.0	6.7	0.4802	6	0.0	3.618534482758619	48.3	tall
timofey mozgov	2017	0.16830591014169902	0.4266326619184265	371	timofey mozgov	2011	2018	C	85	275	16-Jul-86		W	356	C	31	31	359	12.3	0.617	0.19399999999999998	0.32299999999999995	9.4	19.7	14.5	4.8	0.7	2.7	23.7	16.8	0.1	0.3	0.4	0.055	-3.8	-0.3	-4.1	-0.2	BRK	1.7	3.0	0.5589999999999999	0.1	0.6	0.222	1.5	2.4	0.64	0.581	0.7	1.0	0.767	1.0	2.1	3.2	0.4	0.2	0.4	1.1	1.3	4.2	2018	28	20031443	58.7	17.1	0.6183	7	0.0	4.618534482758619	41.6	tall
tobias harris	2015	0.2399221109175377	0.41055418373011837	82	tobias harris	2012	2018	F	81	235	15-Jul-92	University of Tennessee	B	184	PF	23	76	2513	16.2	0.56	0.26899999999999996	0.273	4.1	18.6	11.2	10.6	1.3	1.3	9.8	19.3	4.1	2.5	6.6	0.126	0.7	0.4	1.0	1.9	ORL	5.5	11.7	0.469	1.1	3.1	0.335	4.4	8.6	0.518	0.514	2.7	3.2	0.831	1.3	5.4	6.7	2.2	0.9	0.5	1.4	2.0	14.7	2016	35	2328508	71.2	16.3	0.2464	4	3.381465517241381	0.0	54.900000000000006	tall
tobias harris	2016	0.2399221109175377	0.41055418373011837	82	tobias harris	2012	2018	F	81	235	15-Jul-92	University of Tennessee	B	180	PF	24	82	2567	16.9	0.568	0.295	0.213	2.6	15.6	8.8	8.8	1.2	1.3	7.6	21.7	4.0	2.8	6.8	0.128	1.0	0.1	1.2	2.0	DET	6.2	13.0	0.48100000000000004	1.3	3.8	0.34700000000000003	4.9	9.1	0.537	0.532	2.3	2.8	0.841	0.8	4.3	5.1	1.7	0.7	0.5	1.2	1.6	16.1	2017	37	4296731	69.9	22.4	0.3726	5	2.381465517241381	0.0	47.50000000000001	tall
tobias harris	2017	0.19955001016881826	0.42494631191139587	348	tobias harris	2012	2018	F	81	235	15-Jul-92	University of Tennessee	B	200	PF	25	80	2668	17.1	0.565	0.364	0.177	2.4	15.7	9.0	11.8	1.3	1.1	7.4	23.3	4.2	2.5	6.7	0.12	1.5	-0.8	0.7	1.8	DET	7.0	15.3	0.46	2.3	5.6	0.41100000000000003	4.7	9.7	0.488	0.535	2.2	2.7	0.8290000000000001	0.7	4.7	5.5	2.4	0.9	0.4	1.3	2.1	18.6	2018	39	4296731	69.9	22.4	0.3726	6	1.3814655172413808	0.0	47.50000000000001	tall
tomas satoransky	2017	0.23036545454545454	0.3853906173004725	88	tomas satoransky	2017	2018	G	79	210	30-Oct-91		W	441	SG	26	73	1643	15.4	0.615	0.263	0.25	5.0	11.1	8.0	24.8	1.6	0.8	16.3	13.7	3.7	1.3	5.0	0.145	1.3	-0.2	1.1	1.3	WAS	2.8	5.3	0.523	0.6	1.4	0.465	2.1	3.9	0.544	0.585	1.0	1.3	0.7809999999999999	1.0	2.2	3.2	3.9	0.7	0.2	1.1	1.8	7.2	2018	43	6011752	55.1	25.4	0.3622	1	0.3814655172413808	0.0	29.700000000000003	medium
tony allen	2015	0.12108144864612508	0.43182754822359964	270	tony allen	2005	2018	G-F	76	213	11-Jan-82	Butler County Community College, Oklahoma State University	B	10	SG	34	64	1620	12.9	0.505	0.09	0.294	7.0	14.1	10.4	6.9	3.5	1.0	12.8	16.8	0.5	1.9	2.4	0.07200000000000001	-1.5	1.4	-0.1	0.8	MEM	3.4	7.3	0.45799999999999996	0.2	0.7	0.35700000000000004	3.1	6.7	0.46799999999999997	0.474	1.4	2.2	0.652	1.6	3.0	4.6	1.1	1.7	0.3	1.2	2.7	8.4	2016	42	1341339	47.2	46.6	0.2763	11	0.0	7.618534482758619	0.6000000000000014	medium
tony allen	2016	0.12108144864612508	0.43182754822359964	270	tony allen	2005	2018	G-F	76	213	11-Jan-82	Butler County Community College, Oklahoma State University	B	9	SG	35	71	1914	13.3	0.493	0.091	0.218	9.6	13.8	11.7	8.4	3.1	1.4	13.3	17.9	0.2	2.9	3.1	0.077	-1.8	2.4	0.6	1.3	MEM	3.9	8.4	0.461	0.2	0.8	0.278	3.6	7.6	0.479	0.473	1.1	1.8	0.615	2.3	3.2	5.5	1.4	1.6	0.4	1.4	2.5	9.1	2017	43	1341339	47.2	46.6	0.2763	12	0.0	8.61853448275862	0.6000000000000014	medium
tony allen	2017	0.18430499438832737	0.4250813407177259	297	tony allen	2005	2018	G-F	76	213	11-Jan-82	Butler County Community College, Oklahoma State University	B	10	SF	36	22	273	8.7	0.514	0.132	0.231	8.2	10.4	9.3	4.6	1.9	0.9	15.9	18.9	-0.2	0.2	0.1	0.017	-4.0	-1.3	-5.2	-0.2	NOP	2.0	4.1	0.484	0.2	0.5	0.33299999999999996	1.8	3.6	0.506	0.505	0.5	1.0	0.524	0.9	1.2	2.1	0.4	0.5	0.1	0.9	2.2	4.7	2018	48	1250247	58.2	34.9	0.66	13	0.0	9.61853448275862	23.300000000000004	medium
tony parker	2015	0.10584492693373647	0.4464299452109312	357	tony parker	2002	2018	G	74	185	17-May-82		M	344	PG	33	72	1980	16.2	0.546	0.092	0.24100000000000002	1.0	8.8	5.1	29.1	1.4	0.4	14.3	21.2	2.9	2.9	5.8	0.142	0.4	-0.3	0.1	1.0	SAS	4.9	9.9	0.493	0.4	0.9	0.415	4.5	9.0	0.501	0.512	1.8	2.4	0.76	0.2	2.2	2.4	5.3	0.8	0.2	1.8	1.6	11.9	2016	67	2332345	80.1	6.7	0.1349	14	0.0	6.618534482758619	73.39999999999999	medium
