fuzzy_name	year	compound_mean_mean	compound_mean_std	user_count	Player_FO	Tm	position	DYAR	DVOA	TD	z_DYAR	z_DVOA	z_TD	player_join	Player	level_1	start_year	end_year	url	height	weight	birth_date	race	salary	standard_salary	Wins	total_population	metro_percent_white	metro_percent_black	clinton_vote_lead	experience	youth	oldness	rookie	white_black_diff	height_dummies
allen robinson	2016	0.18577676767676765	0.41808270849771006	33	A.Robinson	JAC	wr	8	-12.0	6	-0.7977109278725316	-0.7899179278579259	0.5538828056994035	a robinson	allen robinson	2.0	2014.0	2018.0	/players/R/RobiAl02.htm	75.0	211.0	August 24, 1993	B	957510.0	13.772091443846636	3.0	1424097.0	70.4	21.4	-0.015006974021	2.0	2.588028169014085	0.0	False	49.00000000000001	tall
alshon jeffery	2013	0.197087398255814	0.3725244407512989	172	A.Jeffery	CHI	wr	248	8.3	7	1.0321686415251918	0.4662306819684801	0.7618592839527643	a jeffery	alshon jeffery	1.0	2012.0	2018.0	/players/J/JeffAl00.htm	75.0	218.0	February 14, 1990	B		14.863362723999122	8.0	9528396.0	66.3	16.9	0.5296	1.0	3.588028169014085	0.0	True	49.4	tall
alshon jeffery	2014	0.11320265957446803	0.43533985746223613	94	A.Jeffery	CHI	wr	278	11.1	11	1.1061839650501193	0.6636861903199511	1.7533808663401682	a jeffery	alshon jeffery	2.0	2012.0	2018.0	/players/J/JeffAl00.htm	75.0	218.0	February 14, 1990	B	1240317.0	14.030877550070851	5.0	9528396.0	66.3	16.9	0.5296	2.0	2.588028169014085	0.0	False	49.4	tall
alshon jeffery	2015	0.1054306187624751	0.39068376193396087	167	A.Jeffery	CHI	wr	126	4.1	4	0.03396050258616078	0.10004696638218788	-0.3583757258952226	a jeffery	alshon jeffery	3.0	2012.0	2018.0	/players/J/JeffAl00.htm	75.0	218.0	February 14, 1990	B		14.863362723999122	6.0	9528396.0	66.3	16.9	0.5296	3.0	1.588028169014085	0.0	False	49.4	tall
alshon jeffery	2016	0.14452496316758753	0.36812786917991286	181	A.Jeffery	CHI	wr	132	5.0	2	0.18987468819568168	0.30014152699264873	-0.8923667425157054	a jeffery	alshon jeffery	4.0	2012.0	2018.0	/players/J/JeffAl00.htm	75.0	218.0	February 14, 1990	B	11163940.0	16.228199499206138	3.0	9528396.0	66.3	16.9	0.5296	4.0	0.588028169014085	0.0	False	49.4	tall
alshon jeffery	2017	0.17610355529595015	0.43346496770196136	214	A.Jeffery	PHI	wr	108	-1.2	9	-0.02749426847933589	-0.17986185240311695	1.7515349201374628	a jeffery	alshon jeffery	5.0	2012.0	2018.0	/players/J/JeffAl00.htm	75.0	218.0	February 14, 1990	B	10750000.0	16.190416312537945	13.0	6047721.0	67.5	20.9	0.6691	5.0	0.0	0.41197183098591506	False	46.6	tall
alvin kamara	2017	0.19109200155433084	0.3950614331055482	337	A.Kamara	NOP	rb	255	44.5	8	2.0261050203590605	3.5818874357258967	1.0685085138183976	a kamara	alvin kamara	0.0	2017.0	2018.0	/players/K/KamaAl00.htm	70.0	215.0	July 25, 1995	B	708193.0	13.470471934397592	11.0	1250247.0	58.2	34.9	0.66	0.0	4.588028169014085	0.0	True	23.300000000000004	short
amari cooper	2015	0.09493570833333331	0.4582032561283658	80	A.Cooper	OAK	wr	122	-1.0	6	0.0021910001668491268	-0.2367575782595168	0.2529711006319217	a cooper	amari cooper	0.0	2015.0	2018.0	/players/C/CoopAm00.htm	73.0	211.0	June 18, 1994	B	4120566.0	15.231501090530903	7.0	4577530.0	52.1	7.6	0.6444	0.0	4.588028169014085	0.0	True	44.5	tall
amari cooper	2016	0.22352345679012345	0.36489903928766526	27	A.Cooper	OAK	wr	231	8.8	5	0.9783503010243358	0.5438018757239537	0.19232041864562635	a cooper	amari cooper	1.0	2015.0	2018.0	/players/C/CoopAm00.htm	73.0	211.0	June 18, 1994	B	5150708.0	15.454644738919153	12.0	4577530.0	52.1	7.6	0.6444	1.0	3.588028169014085	0.0	True	44.5	tall
amari cooper	2017	0.05047364341085274	0.42404694487533173	43	A.Cooper	OAK	wr	27	-9.1	7	-0.7164333844039888	-0.701407488436739	1.0185324718074298	a cooper	amari cooper	2.0	2015.0	2018.0	/players/C/CoopAm00.htm	73.0	211.0	June 18, 1994	B	6180850.0	15.636966360429128	6.0	4577530.0	52.1	7.6	0.6444	2.0	2.588028169014085	0.0	False	44.5	tall
ameer abdullah	2015	0.1208318181818182	0.40667233843003864	22	A.Abdullah	DET	rb	-2	-8.9	2	-0.9021570385641487	-0.8549631375520014	-0.8785812692394365	a abdullah	ameer abdullah	0.0	2015.0	2018.0	/players/A/AbduAm00.htm	69.0	203.0	June 13, 1993	B	755659.0	13.53534549520326	7.0	4296731.0	69.9	22.4	0.3726	0.0	4.588028169014085	0.0	True	47.50000000000001	short
ameer abdullah	2017	0.005819565217391313	0.386157487226017	23	A.Abdullah	DET	rb	-9	-10.0	4	-0.7588635287287009	-0.7169480918999687	-0.2618199669621241	a abdullah	ameer abdullah	2.0	2015.0	2018.0	/players/A/AbduAm00.htm	69.0	203.0	June 13, 1993	B	1133489.0	13.940811044427404	9.0	4296731.0	69.9	22.4	0.3726	2.0	2.588028169014085	0.0	False	47.50000000000001	short
andre brown	2013	0.10662941176470588	0.5098269446154081	17	A.Brown	NYG	rb	-44	-16.3	3	-0.9845746917677896	-1.1368932464900858	-0.8852067011708888	a brown	andre brown	4.0	2010.0	2013.0	/players/B/BrowAn03.htm	72.0	224.0	December 15, 1986	B		14.863362723999122	7.0	20031443.0	58.7	17.1	0.6183	3.0	1.588028169014085	0.0	False	41.6	short
andre ellington	2013	0.17611000000000004	0.40819926629037445	10	A.Ellington	PHO	rb	117	17.5	3	0.5153803500294449	1.4584058070724235	-0.8852067011708888	a ellington	andre ellington	0.0	2013.0	2017.0	/players/E/ElliAn00.htm	69.0	200.0	February 3, 1989	B		14.863362723999122	10.0	4486153.0	78.7	5.2	0.0345	0.0	4.588028169014085	0.0	True	73.5	short
andre ellington	2014	0.29203999999999997	0.5461848510857433	10	A.Ellington	PHO	rb	-29	-12.3	3	-0.9504214286151762	-1.0098184712437033	-0.7916644137933774	a ellington	andre ellington	1.0	2013.0	2017.0	/players/E/ElliAn00.htm	69.0	200.0	February 3, 1989	B	520966.0	13.163440059488952	11.0	4486153.0	78.7	5.2	0.0345	1.0	3.588028169014085	0.0	True	73.5	short
andre johnson	2013	0.08723166666666668	0.454013964478384	117	A.Johnson	HOU	wr	150	-2.3	5	0.2847361769724667	-0.1988172704805776	0.13851986980959355	a johnson	andre johnson	10.0	2003.0	2016.0	/players/J/JohnAn02.htm	75.0	219.0	July 11, 1981	B		14.863362723999122	2.0	6482592.0	65.7	17.2	0.124	10.0	0.0	5.411971830985915	False	48.5	tall
